,be,bg,ca,cs,en,es,pl,ru,sl,tr,uk,gender
49,Джон Стэйнбек,Джон Стайнбек,John Steinbeck,John Steinbeck,John Steinbeck,John Steinbeck,John Steinbeck,Джон Стейнбек,John Steinbeck,John Steinbeck,Джон Стейнбек,m
50,Сігэёсі Судзукі,Шигейоши Сузуки,Shigeyoshi Suzuki,Šigejoši Suzuki,Shigeyoshi Suzuki,Shigeyoshi Suzuki,Shigeyoshi Suzuki,Сигэёси Судзуки,Šigejoši Suzuki,Shigeyoshi Suzuki,Судзукі Сіґейосі,m
51,Эрык Эрыксан,Ерик Ериксон,Erik Erikson,Erik Erikson,Erik Erikson,Erik Erikson,Erik Erikson,Эрик Хомбургер Эриксон,Erik Erikson,Erik Erikson,Ерік Еріксон,m
52,Рудольф Абель,Рудолф Абел,Rudolf Abel,Rudolf Ivanovič Abel,Rudolf Abel,Rudolf Abel,William Fisher,Рудольф Абель,Viljam Genrihovič Fisher,Rudolf Abel,Рудольф Абель,m
53,Тэадор Адорна,Теодор Адорно,Theodor Adorno,Theodor W. Adorno,Theodor W. Adorno,Theodor Adorno,Theodor Adorno,Теодор Адорно,Theodor W. Adorno,Theodor W. Adorno,Теодор Адорно,m
54,Джордж Уэлс Бідл,Джордж Бидъл,George Wells Beadle,George Wells Beadle,George Beadle,George Wells Beadle,George Wells Beadle,Джордж Уэлс Бидл,George Wells Beadle,George Wells Beadle,Джордж Бідл,m
55,Хабіб Бургіба,Хабиб Бургиба,Habib Bourguiba,Habíb Burgiba,Habib Bourguiba,Habib Burguiba,Habib Burgiba,Хабиб Бургиба,Habib Bourguiba,Habib Burgiba,Хабіб Бурґіба,m
56,Адольф Фрыдрых Бутэнант,Адолф Бутенант,Adolf Butenandt,Adolf Butenandt,Adolf Butenandt,Adolph Butenandt,Adolf Butenandt,Адольф Бутенандт,Adolf Butenandt,Adolf Butenandt,Адольф Бутенандт,m
57,Іўлін Во,Ивлин Уо,Evelyn Waugh,Evelyn Waugh,Evelyn Waugh,Evelyn Waugh,Evelyn Waugh,Ивлин Во,Evelyn Waugh,Evelyn Waugh,Івлін Во,m
58,Андрэй Грэчка,Андрей Гречко,Andrei Gretxkó,Andrej Antonovič Grečko,Andrei Grechko,Andréi Grechko,Andriej Grieczko,Андрей Гречко,Andrej Antonovič Grečko,Andrey Greçko,Андрій Гречко,m
59,Эмі Джонсан,Ейми Джонсън,Amy Johnson,Amy Johnsonová,Amy Johnson,Amy Johnson,Amy Johnson,Эми Джонсон,Amy Johnson,Amy Johnson,Емі Джонсон,f
60,Андрэй Калмагораў,Андрей Колмогоров,Andrei Kolmogórov,Andrej Nikolajevič Kolmogorov,Andrey Kolmogorov,Andréi Kolmogórov,Andriej Kołmogorow,Андрей Колмогоров,Andrej Nikolajevič Kolmogorov,Andrey Kolmogorov,Андрій Колмогоров,m
61,Эрнст Кальтэнбрунер,Ернст Калтенбрунер,Ernst Kaltenbrunner,Ernst Kaltenbrunner,Ernst Kaltenbrunner,Ernst Kaltenbrunner,Ernst Kaltenbrunner,Эрнст Кальтенбруннер,Ernst Kaltenbrunner,Ernst Kaltenbrunner,Ернст Кальтенбруннер,m
62,Бінг Кросбі,Бинг Крозби,Bing Crosby,Bing Crosby,Bing Crosby,Bing Crosby,Bing Crosby,Бинг Кросби,Bing Crosby,Bing Crosby,Бінґ Кросбі,m
63,Мікалай Крылоў,Николай Крилов,Nikolai Krilov,Nikolaj Ivanovič Krylov,Nikolay Krylov,Nikolái Krylov,Nikołaj Kryłow,Николай Крылов,Nikolaj Ivanovič Krilov,Nikolay Krılov,Микола Крилов,m
64,Ігар Курчатаў,Игор Курчатов,Ígor Kurtxàtov,Igor Kurčatov,Igor Kurchatov,Ígor Kurchátov,Igor Kurczatow,Игорь Курчатов,Igor Vasiljevič Kurčatov,İgor Kurçatov,Ігор Курчатов,m
65,Луіс Лікі,Луис Лики,Louis Leakey,Louis Leakey,Louis Leakey,Louis Leakey,Louis Leakey,Луис Лики,Louis Leakey,Louis Leakey,Луїс Лікі,m
66,Конрад Лорэнц,Конрад Лоренц,Konrad Lorenz,Konrad Lorenz,Konrad Lorenz,Konrad Lorenz,Konrad Lorenz,Конрад Лоренц,Konrad Lorenz,Konrad Lorenz,Конрад Лоренц,m
67,Джуліа Ната,Джулио Ната,Giulio Natta,Giulio Natta,Giulio Natta,Giulio Natta,Giulio Natta,Джулио Натта,Giulio Natta,Giulio Natta,Джуліо Натта,m
68,Джон фон Нейман,Джон фон Нойман,John von Neumann,John von Neumann,John von Neumann,John von Neumann,John von Neumann,Джон фон Нейман,John von Neumann,John von Neumann,Джон фон Нейман,m
69,Анаіс Нін,Анаис Нин,Anaïs Nin,Anaïs Nin,Anaïs Nin,Anaïs Nin,Anaïs Nin,Анаис Нин,Anaïs Nin,Anais Nin,Анаїс Нін,f
70,Ларс Онсагер,Ларс Онсагер,Lars Onsager,Lars Onsager,Lars Onsager,Lars Onsager,Lars Onsager,Ларс Онзагер,Lars Onsager,Lars Onsager,Ларс Онсагер,m
71,Джордж Оруэл,Джордж Оруел,George Orwell,George Orwell,George Orwell,George Orwell,George Orwell,Джордж Оруэлл,George Orwell,George Orwell,Джордж Орвелл,m
72,Сесіл Фрэнк Паўэл,Сесил Франк Поуел,Cecil Frank Powell,Cecil Powell,C. F. Powell,Cecil Frank Powell,Cecil Frank Powell,Сесил Фрэнк Пауэлл,Cecil Frank Powell,C. F. Powell,Сесіль Френк Павелл,m
73,Марк Ротка,Марк Ротко,Mark Rothko,Mark Rothko,Mark Rothko,Mark Rothko,Mark Rothko,Марк Ротко,Mark Rothko,Mark Rothko,Марк Ротко,m
74,Улаф V,Олаф V,Olaf V de Noruega,Olaf V.,Olav V of Norway,Olaf V de Noruega,Olaf V,Улаф V,Olaf V. Norveški,V. Olav,Олаф V,m
75,Эрнест Томас Сінтан Уолтан,Ърнест Уолтън,Ernest Walton,Ernest Thomas Sinton Walton,Ernest Walton,Ernest Walton,Ernest Walton,Эрнест Уолтон,Ernest Thomas Sinton Walton,Ernest Walton,Ернест Томас Синтон Волтон,m
76,Уйціро Хата,Уичиро Хатта,Uichiro Hatta,Uičiró Hatta,Uichiro Hatta,Uichiro Hatta,Uichirō Hatta,Уитиро Хатта,Uičiro Hatta,Uichiro Hatta,Хатта Уітіро,m
77,Арам Ільіч Хачатуран,Арам Хачатурян,Aram Khatxaturian,Aram Chačaturjan,Aram Khachaturian,Aram Jachaturián,Aram Chaczaturian,Арам Хачатурян,Aram Iljič Hačaturjan,Aram Haçaturyan,Арам Ілліч Хачатурян,m
78,Холдэн Кефер Хартлайн,Холдън Кефър Хартлайн,Haldan Keffer Hartline,Haldan Keffer Hartline,Haldan Keffer Hartline,Haldan Keffer Hartline,Haldan Keffer Hartline,Холден Кеффер Хартлайн,Haldan Keffer Hartline,Haldan Keffer Hartline,Голден Гартлайн,m
79,Алонза Чорч,Алонсо Чърч,Alonzo Church,Alonzo Church,Alonzo Church,Alonzo Church,Alonzo Church,Алонзо Чёрч,Alonzo Church,Alonzo Church,Алонзо Черч,m
80,Ральф Банч,Ралф Бънч,Ralph Bunche,Ralph Bunche,Ralph Bunche,Ralph Bunche,Ralph Bunche,Ральф Банч,Ralph Bunche,Ralph Bunche,Ральф Банч,m
81,Сяргей Бірузоў,Сергей Бирюзов,Serguei Biriúzov,Sergej Birjuzov,Sergey Biryuzov,Serguéi Biriuzov,Siergiej Biriuzow,Сергей Бирюзов,Sergej Semjonovič Birjuzov,Sergey Biryuzov,Сергій Бірюзов,m
82,Джоні Вайсмюлер,Джони Вайсмюлер,Johnny Weissmuller,Johnny Weissmüller,Johnny Weissmuller,Johnny Weissmüller,Johnny Weissmuller,Джонни Вайсмюллер,Johnny Weissmuller,Johnny Weissmuller,Джонні Вайссмюллер,m
83,Райнгард Гайдрых,Райнхард Хайдрих,Reinhard Heydrich,Reinhard Heydrich,Reinhard Heydrich,Reinhard Heydrich,Reinhard Heydrich,Рейнхард Гейдрих,Reinhard Heydrich,Reinhard Heydrich,Райнгард Гейдріх,m
84,Вітальд Гамбровіч,Витолд Гомбрович,Witold Gombrowicz,Witold Gombrowicz,Witold Gombrowicz,Witold Gombrowicz,Witold Gombrowicz,Витольд Гомбрович,Witold Gombrowicz,Witold Gombrowicz,Вітольд Ґомбрович,m
85,Грэм Грын,Греъм Грийн,Graham Greene,Graham Greene,Graham Greene,Graham Greene,Graham Greene,Грэм Грин,Graham Greene,Graham Greene,Ґрем Ґрін,m
86,Сальвадор Далі,Салвадор Дали,Salvador Dalí i Domènech,Salvador Dalí,Salvador Dalí,Salvador Dalí,Salvador Dalí,Сальвадор Дали,Salvador Dalí,Salvador Dalí,Сальвадор Далі,m
87,Дэн Сяапін,Дън Сяопин,Deng Xiaoping,Teng Siao-pching,Deng Xiaoping,Deng Xiaoping,Deng Xiaoping,Дэн Сяопин,Deng Šjaoping,Deng Şiaoping,Ден Сяопін,m
88,Эктар Кастра,Ектор Кастро,Héctor Castro,Héctor Castro,Héctor Castro,Héctor Castro,Héctor Castro,Эктор Кастро,Héctor Castro,Héctor Castro,Ектор Кастро,m
89,Джаан Кроўфард,Джоан Крофорд,Joan Crawford,Joan Crawfordová,Joan Crawford,Joan Crawford,Joan Crawford,Джоан Кроуфорд,Joan Crawford,Joan Crawford,Джоан Кроуфорд,f
90,Мікалай Кузняцоў,Николай Кузнецов,Nikolai Kuznetsov,Nikolaj Gerasimovič Kuzněcov,Nikolai Kuznetsov,Nikolái Guerásimovich Kuznetsov,Nikołaj Kuzniecow,Николай Кузнецов,Nikolaj Gerasimovič Kuznecov,Nikolay Kuznetsov,Микола Кузнецов,m
91,Вілем дэ Кунінг,Вилем де Конинг,Willem de Kooning,Willem de Kooning,Willem de Kooning,Willem de Kooning,Willem de Kooning,Виллем де Кунинг,Willem de Kooning,Willem de Kooning,Віллем де Кунінг,m
92,Шон Мак-Брайд,Шон Макбрайд,Seán MacBride,Seán MacBride,Seán MacBride,Seán MacBride,Seán MacBride,Шон Макбрайд,Seán MacBride,Seán MacBride,Шон Макбрайд,m
93,Хары Эдмунд Марцінсан,Хари Мартинсон,Harry Martinson,Harry Martinson,Harry Martinson,Harry Martinson,Harry Martinson,Харри Мартинсон,Harry Martinson,Harry Martinson,Гаррі Мартінсон,m
94,Луі Эжэн Фелікс Неель,Луи Неел,Louis Eugène Félix Néel,Louis Néel,Louis Néel,Louis Néel,Louis Néel,Луи Неель,Louis Eugène Félix Néel,Louis Néel,Луї Неель,m
95,Пабла Нэруда,Пабло Неруда,Pablo Neruda,Pablo Neruda,Pablo Neruda,Pablo Neruda,Pablo Neruda,Пабло Неруда,Pablo Neruda,Pablo Neruda,Пабло Неруда,m
96,Роберт Опенгеймер,Робърт Опенхаймер,Robert Oppenheimer,Robert Oppenheimer,J. Robert Oppenheimer,Robert Oppenheimer,Robert Oppenheimer,Роберт Оппенгеймер,Julius Robert Oppenheimer,Robert Oppenheimer,Роберт Оппенгеймер,m
97,Кліфард Дональд Саймак,Клифърд Саймък,Clifford D. Simak,Clifford D. Simak,Clifford D. Simak,Clifford D. Simak,Clifford D. Simak,Клиффорд Дональд Саймак,Clifford Donald Simak,Clifford D. Simak,Кліффорд Сімак,m
98,Берэс Фрэдэрык Скінер,Бъръс Фредерик Скинър,Burrhus Frederic Skinner,Burrhus Frederic Skinner,B. F. Skinner,Burrhus Frederic Skinner,Burrhus Frederic Skinner,Беррес Фредерик Скиннер,B. F. Skinner,Burrhus Frederic Skinner,Беррес Фредерік Скіннер,m
99,Ум Кульсум,Ум Кулсум,Umm-Kulthum,Umm Kulthum,Umm Kulthum,Umm Kalzum,Umm Kulsum,Умм Кульсум,Um Kultum,Ümmü Gülsüm,Ум Кульсум,m
100,Умберта II,Умберто II,Humbert II d'Itàlia,Umberto II.,Umberto II of Italy,Humberto II de Italia,Humbert II,Умберто II,Umberto II. Italijanski,II. Umberto,Умберто II,m
101,Вернер Форсман,Вернер Форсман,Werner Forssmann,Werner Forßmann,Werner Forssmann,Werner Forssmann,Werner Forßmann,Вернер Форсман,Werner Forßmann,Werner Forssmann,Вернер Форсман,m
102,Павел Чаранкоў,Павел Черенков,Pàvel Txerenkov,Pavel Alexejevič Čerenkov,Pavel Cherenkov,Pável Cherenkov,Pawieł Czerenkow,Павел Черенков,Pavel Aleksejevič Čerenkov,Pavel Çerenkov,Павло Черенков,m
103,Валерый Чкалаў,Валерий Чкалов,Valeri Txkàlov,Valerij Čkalov,Valery Chkalov,Valeri Chkálov,Walerij Czkałow,Валерий Чкалов,Valerij Pavlovič Čkalov,Valeri Çkalov,Валерій Чкалов,m
104,Карл Дэйвід Андэрсан,Карл Дейвид Андерсън,Carl David Anderson,Carl David Anderson,Carl David Anderson,Carl David Anderson,Carl David Anderson,Карл Дейвид Андерсон,Carl David Anderson,Carl Anderson,Карл Девід Андерсон,m
105,Севера Ачоа,Северо Очоа,Severo Ochoa de Albornoz,Severo Ochoa,Severo Ochoa,Severo Ochoa,Severo Ochoa de Albornoz,Северо Очоа,Severo Ochoa,Severo Ochoa,Северо Очоа,m
106,Фелікс Блох,Феликс Блох,Felix Bloch,Felix Bloch,Felix Bloch,Felix Bloch,Felix Bloch,Феликс Блох,Felix Bloch,Felix Bloch,Фелікс Блох,m
107,Грэта Гарба,Грета Гарбо,Greta Garbo,Greta Garbo,Greta Garbo,Greta Garbo,Greta Garbo,Грета Гарбо,Greta Garbo,Greta Garbo,Грета Гарбо,f
108,Крысціян Дыёр,Кристиан Диор,Christian Dior,Christian Dior,Christian Dior,Christian Dior,Christian Dior,Кристиан Диор,Christian Dior,Christian Dior,Крістіан Діор,m
109,Атыла Ёжэф,Атила Йожеф,Attila József,Attila József,Attila József,Attila József,Attila József,Аттила Йожеф,Attila József,Attila József,Аттіла Йожеф,m
110,Фаўстына Кавальская,Фаустина Ковалска,Faustina Kowalska,Maria Faustyna Kowalska,Faustina Kowalska,María Faustina Kowalska,Faustyna Kowalska,Фаустина Ковальская,Favstina Kowalska,Faustina Kowalska,Фаустина Ковальська,f
111,Эліяс Канеці,Елиас Канети,Elias Canetti,Elias Canetti,Elias Canetti,Elias Canetti,Elias Canetti,Элиас Канетти,Elias Canetti,Elias Canetti,Еліас Канетті,m
112,Джэрард Петэр Койпер,Герард Кайпер,Gerard Kuiper,Gerard Kuiper,Gerard Kuiper,Gerard Kuiper,Gerard Kuiper,Джерард Петер Койпер,Gerard Peter Kuiper,Gerard Kuiper,Джерард Койпер,m
113,Арцём Мікаян,Артьом Микоян,Artiom Mikoian,Arťom Mikojan,Artem Mikoyan,Artiom Mikoyán,Artiom Mikojan,Артём Микоян,Artem Mikojan,Artyom Mikoyan,Артем Мікоян,m
114,Невіл Франсіс Мот,Невил Франсис Мот,Nevill Francis Mott,Nevill Mott,Nevill Francis Mott,Nevill Francis Mott,Nevill Francis Mott,Невилл Фрэнсис Мотт,Nevill Francis Mott,Nevill Mott,Невілл Френсіс Мотт,m
115,Айн Рэнд,Айн Ранд,Ayn Rand,Ayn Randová,Ayn Rand,Ayn Rand,Ayn Rand,Айн Рэнд,Ayn Rand,Ayn Rand,Айн Ренд,f
116,Жан-Поль Сартр,Жан-Пол Сартър,Jean-Paul Sartre,Jean-Paul Sartre,Jean-Paul Sartre,Jean-Paul Sartre,Jean-Paul Sartre,Жан-Поль Сартр,Jean-Paul Sartre,Jean-Paul Sartre,Жан-Поль Сартр,m
117,Эміліа Джына Сегрэ,Емилио Сегре,Emilio Gino Segrè,Emilio Gino Segrè,Emilio Segrè,Emilio Gino Segrè,Emilio Segrè,Эмилио Джино Сегре,Emilio Gino Segrè,Emilio Segrè,Еміліо Джино Сегре,m
118,Генры Фонда,Хенри Фонда,Henry Fonda,Henry Fonda,Henry Fonda,Henry Fonda,Henry Fonda,Генри Фонда,Henry Fonda,Henry Fonda,Генрі Фонда,m
