,be,bg,ca,cs,en,es,pl,ru,sl,tr,uk,gender
1284,Кадзусі Кімура,Казуши Кимура,Kazushi Kimura,Kazuši Kimura,Kazushi Kimura,Kazushi Kimura,Kazushi Kimura,Кадзуси Кимура,Kazuši Kimura,Kazushi Kimura,Кімура Кадзусі,m
1285,Крыс Каламбус,Крис Кълъмбъс,Chris Columbus,Chris Columbus,Chris Columbus,Chris Columbus,Chris Columbus,Крис Коламбус,Chris Columbus,Chris Columbus,Кріс Коламбус,m
1286,Цыпі Ліўні,Ципи Ливни,Tsippi Livni,Cipi Livniová,Tzipi Livni,Tzipi Livni,Cippi Liwni,Ципи Ливни,Cipi Livni,Tzipi Livni,Ципі Лівні,f
1287,Урсула фон дэр Ляен,Урсула фон дер Лайен,Ursula von der Leyen,Ursula von der Leyenová,Ursula von der Leyen,Ursula von der Leyen,Ursula von der Leyen,Урсула фон дер Ляйен,Ursula von der Leyen,Ursula von der Leyen,Урсула фон дер Ляєн,f
1288,Мадонна,Мадона,Madonna,Madonna,Madonna,Madonna,Madonna,Мадонна,Madonna,Madonna,Мадонна,f
1289,Мары-Луіз Калейра Прэка,Мари-Луиз Колейро Прека,Marie-Louise Coleiro Preca,Marie Louise Coleiro Preca,Marie-Louise Coleiro Preca,Marie-Louise Coleiro Preca,Marie-Louise Coleiro Preca,Мари-Луиз Колейро Прека,Marie Louise Coleiro Preca,Marie-Louise Coleiro Preca,Марі-Луїз Колейро Прека,m
1290,Мехмет Алі Агджа,Мехмет Али Агджа,Mehmet Ali Ağca,Mehmet Ali Ağca,Mehmet Ali Ağca,Mehmet Ali Ağca,Mehmet Ali Ağca,Мехмет Али Агджа,Mehmet Ali Ağca,Mehmet Ali Ağca,Мехмет Алі Агджа,m
1291,Віга Мортэнсен,Виго Мортенсен,Viggo Mortensen,Viggo Mortensen,Viggo Mortensen,Viggo Mortensen,Viggo Mortensen,Вигго Мортенсен,Viggo Mortensen,Viggo Mortensen,Вігго Мортенсен,m
1292,Акіхіро Нісімура,Акихиро Нишимура,Akihiro Nishimura,Akihiro Nišimura,Akihiro Nishimura,Akihiro Nishimura,Akihiro Nishimura,Акихиро Нисимура,Akihiro Nišimura,Akihiro Nishimura,Нісімура Акіхіро,m
1293,Ганна Паліткоўская,Анна Политковская,Anna Politkóvskaia,Anna Politkovská,Anna Politkovskaya,Anna Politkóvskaya,Anna Politkowska,Анна Политковская,Ana Politkovska,Anna Politkovskaya,Ганна Політковська,m
1294,Прынс,Принс,Prince,Prince,Prince,Prince,Prince,Принс,Prince,Prince,Прінс,m
1295,Цутому Санобэ,Цутому Сонобе,Tsutomu Sonobe,Cutomu Sonobe,Tsutomu Sonobe,Tsutomu Sonobe,Tsutomu Sonobe,Цутому Сонобэ,Cutomu Sonobe,Tsutomu Sonobe,Сонобе Цутому,m
1296,Борыс Тадзіч,Борис Тадич,Boris Tadić,Boris Tadić,Boris Tadić,Boris Tadić,Boris Tadić,Борис Тадич,Boris Tadić,Boris Tadić,Борис Тадич,m
1297,Сатосі Тэдзука,Сатоши Тезука,Satoshi Tezuka,Satoši Tezuka,Satoshi Tezuka,Satoshi Tezuka,Satoshi Tezuka,Сатоси Тэдзука,Satoši Tezuka,Satoshi Tezuka,Тедзука Сатосі,m
1298,Мары Фрэдрыксан,Мари Фредриксон,Marie Fredriksson,Marie Fredrikssonová,Marie Fredriksson,Marie Fredriksson,Marie Fredriksson,Мари Фредрикссон,Marie Fredriksson,Marie Fredriksson,Марі Фредрікссон,f
1299,Холі Хантэр,Холи Хънтър,Holly Hunter,Holly Hunter,Holly Hunter,Holly Hunter,Holly Hunter,Холли Хантер,Holly Hunter,Holly Hunter,Голлі Гантер,f
1300,Хіромі Хара,Хироми Хара,Hiromi Hara,Hiromi Hara,Hiromi Hara,Hiromi Hara,Hiromi Hara,Хироми Хара,Hiromi Hara,Hiromi Hara,Хара Хіромі,m
1301,Олаф Шольц,Олаф Шолц,Olaf Scholz,Olaf Scholz,Olaf Scholz,Olaf Scholz,Olaf Scholz,Олаф Шольц,Olaf Scholz,Olaf Scholz,Олаф Шольц,m
1302,Масакуні Ямамато,Масакуни Ямамото,Masakuni Yamamoto,Masakuni Jamamoto,Masakuni Yamamoto,Masakuni Yamamoto,Masakuni Yamamoto,Масакуни Ямамото,Masakuni Jamamoto,Masakuni Yamamoto,Ямамото Масакуні,m
1303,Янез Янша,Янез Янша,Janez Janša,Janez Janša,Janez Janša,Janez Janša,Janez Janša,Янез Янша,Janez Janša,Janez Janša,Янез Янша,m
1304,Браян Адамс,Брайън Адамс,Bryan Adams,Bryan Adams,Bryan Adams,Bryan Adams,Bryan Adams,Брайан Адамс,Bryan Adams,Bryan Adams,Браян Адамс,m
1305,Янаш Адэр,Янош Адер,János Áder,János Áder,János Áder,János Áder,János Áder,Янош Адер,János Áder,János Áder,Янош Адер,m
1306,Шон Бін,Шон Бийн,Sean Bean,Sean Bean,Sean Bean,Sean Bean,Sean Bean,Шон Бин,Sean Bean,Sean Bean,Шон Бін,m
1307,Мэджык Джонсан,Меджик Джонсън,Magic Johnson,Magic Johnson,Magic Johnson,Magic Johnson,Magic Johnson,Мэджик Джонсон,Magic Johnson,Magic Johnson,Меджик Джонсон,m
1308,Такаакі Кадзіта,Такааки Каджита,Takaaki Kajita,Takaaki Kadžita,Takaaki Kajita,Takaaki Kajita,Takaaki Kajita,Такааки Кадзита,Takaaki Kadžita,Takaaki Kajita,Кадзіта Такаакі,m
1309,Хісасі Канэко,Хисаши Канеко,Hisashi Kaneko,Hisaši Kaneko,Hisashi Kaneko,Hisashi Kaneko,Hisashi Kaneko,Хисаси Канэко,Hisaši Kaneko,Hisashi Kaneko,Канеко Хісасі,m
1310,Х’ю Лоры,Хю Лори,Hugh Laurie,Hugh Laurie,Hugh Laurie,Hugh Laurie,Hugh Laurie,Хью Лори,Hugh Laurie,Hugh Laurie,Г'ю Лорі,m
1311,Кайл Мак-Лахлен,Кайл Маклоклан,Kyle MacLachlan,Kyle MacLachlan,Kyle MacLachlan,Kyle MacLachlan,Kyle MacLachlan,Кайл Маклахлен,Kyle MacLachlan,Kyle MacLachlan,Кайл Маклаклен,m
1312,Эва Маралес,Ево Моралес,Evo Morales,Evo Morales,Evo Morales,Evo Morales,Evo Morales,Эво Моралес,Evo Morales,Evo Morales,Ево Моралес,m
1313,Рыгаберта Менчу,Ригоберта Менчу,Rigoberta Menchú Tum,Rigoberta Menchú,Rigoberta Menchú,Rigoberta Menchú,Rigoberta Menchú Tum,Ригоберта Менчу,Rigoberta Menchú,Rigoberta Menchú,Рігоберта Менчу,m
1314,Сатосі Міяуці,Сатоши Мияучи,Satoshi Miyauchi,Satoši Mijauči,Satoshi Miyauchi,Satoshi Miyauchi,Satoshi Miyauchi,Сатоси Мияути,Satoši Mijauči,Satoshi Miyauchi,Міяуті Сатосі,m
1315,Барыс Нямцоў,Борис Немцов,Borís Nemtsov,Boris Němcov,Boris Nemtsov,Borís Nemtsov,Boris Niemcow,Борис Немцов,Boris Jefimovič Nemcov,Boris Nemtsov,Борис Нємцов,m
1316,Майк Пенс,Майк Пенс,Mike Pence,Mike Pence,Mike Pence,Mike Pence,Mike Pence,Майк Пенс,Mike Pence,Mike Pence,Майк Пенс,m
1317,Сол Перлмутэр,Сол Пърлмутър,Saul Perlmutter,Saul Perlmutter,Saul Perlmutter,Saul Perlmutter,Saul Perlmutter,Сол Перлмуттер,Saul Perlmutter,Saul Perlmutter,Сол Перлматтер,m
1318,Хіросі Соэдзіма,Хироши Соеджима,Hiroshi Soejima,Hiroši Soedžima,Hiroshi Soejima,Hiroshi Soejima,Hiroshi Soejima,Хироси Соэдзима,Hiroši Soedžima,Hiroshi Soejima,Соедзіма Хіросі,m
1319,Кевін Спейсі,Кевин Спейси,Kevin Spacey,Kevin Spacey,Kevin Spacey,Kevin Spacey,Kevin Spacey,Кевин Спейси,Kevin Spacey,Kevin Spacey,Кевін Спейсі,m
1320,Енс Столтэнберг,Йенс Столтенберг,Jens Stoltenberg,Jens Stoltenberg,Jens Stoltenberg,Jens Stoltenberg,Jens Stoltenberg,Йенс Столтенберг,Jens Stoltenberg,Jens Stoltenberg,Єнс Столтенберг,m
1321,Каіці Танака,Коичи Танака,Kōichi Tanaka,Kóiči Tanaka,Koichi Tanaka,Kōichi Tanaka,Kōichi Tanaka,Коити Танака,Koiči Tanaka,Koichi Tanaka,Танака Коїті,m
1322,Эма Томпсан,Ема Томпсън,Emma Thompson,Emma Thompsonová,Emma Thompson,Emma Thompson,Emma Thompson,Эмма Томпсон,Emma Thompson,Emma Thompson,Емма Томпсон,f
1323,Ацусі Уціяма,Ацуши Учияма,Atsushi Uchiyama,Acuši Učijama,Atsushi Uchiyama,Atsushi Uchiyama,Atsushi Uchiyama,Ацуси Утияма,Acuši Učijama,Atsushi Uchiyama,Утіяма Ацусі,m
1324,Клаус Яханіс,Клаус Йоханис,Klaus Iohannis,Klaus Iohannis,Klaus Iohannis,Klaus Iohannis,Klaus Iohannis,Клаус Йоханнис,Klaus Iohannis,Klaus Iohannis,Клаус Йоганніс,m
1325,Увэ Байн,Уве Байн,Uwe Bein,Uwe Bein,Uwe Bein,Uwe Bein,Uwe Bein,Уве Байн,Uwe Bein,Uwe Bein,Уве Байн,m
1326,Антоніа Бандэрас,Антонио Бандерас,Antonio Banderas,Antonio Banderas,Antonio Banderas,Antonio Banderas,Antonio Banderas,Антонио Бандерас,Antonio Banderas,Antonio Banderas,Антоніо Бандерас,m
1327,Бона,Боно,Bono,Bono,Bono,Bono,Bono,Боно,Bono,Bono,Боно,m
1328,Альфрэд Гузенбаўэр,Алфред Гузенбауер,Alfred Gusenbauer,Alfred Gusenbauer,Alfred Gusenbauer,Alfred Gusenbauer,Alfred Gusenbauer,Альфред Гузенбауэр,Alfred Gusenbauer,Alfred Gusenbauer,Альфред Гузенбауер,m
1329,Тамоюкі Кадзіно,Томоюки Каджино,Tomoyuki Kajino,Tomojuki Kadžino,Tomoyuki Kajino,Tomoyuki Kajino,Tomoyuki Kajino,Томоюки Кадзино,Tomojuki Kadžino,Tomoyuki Kajino,Кадзіно Томоюкі,m
1330,Такэсі Косіда,Такеши Кошида,Takeshi Koshida,Takeši Košida,Takeshi Koshida,Takeshi Koshida,Takeshi Koshida,Такэси Косида,Takeši Košida,Takeshi Koshida,Косіда Такесі,m
1331,Ёахім Лёў,Йоахим Льов,Joachim Löw,Joachim Löw,Joachim Löw,Joachim Löw,Joachim Löw,Йоахим Лёв,Joachim Löw,Joachim Löw,Йоахім Лев,m
1332,Гары Лінекер,Гари Линекер,Gary Winston Lineker,Gary Lineker,Gary Lineker,Gary Lineker,Gary Lineker,Гари Линекер,Gary Lineker,Gary Lineker,Гарі Лінекер,m
1333,П’ер Літбарскі,Пиер Литбарски,Pierre Littbarski,Pierre Littbarski,Pierre Littbarski,Pierre Littbarski,Pierre Littbarski,Пьер Литтбарски,Pierre Littbarski,Pierre Littbarski,П'єр Літтбарскі,m
1334,Дыега Арманда Марадона,Диего Марадона,Diego Armando Maradona,Diego Maradona,Diego Maradona,Diego Maradona,Diego Maradona,Диего Армандо Марадона,Diego Maradona,Diego Maradona,Дієго Марадона,m
1335,Такасі Мідзунума,Такаши Мизунума,Takashi Mizunuma,Takaši Mizunuma,Takashi Mizunuma,Takashi Mizunuma,Takashi Mizunuma,Такаси Мидзунума,Takaši Mizunuma,Takashi Mizunuma,Мідзунума Такасі,m
1336,Сініці Морысіта,Шиничи Моришита,Shinichi Morishita,Šiniči Morišita,Shinichi Morishita,Shin'ichi Morishita,Shin’ichi Morishita,Синъити Морисита,Šiniči Morišita,Shinichi Morishita,Морісіта Сініті,m
1337,Нарухіта,Нарухито,Naruhito,Naruhito,Naruhito,Naruhito,Naruhito,Нарухито,Naruhito,Naruhito,Нарухіто,m
1338,Хасан Насрала,Хасан Насрала,Hassan Nasral·là,Hasan Nasralláh,Hassan Nasrallah,Hasan Nasrallah,Hasan Nasr Allah,Хасан Насралла,Hasan Nasralah,Hasan Nasrallah,Саїд Хасан Насралла,m
1339,Ю Несбё,Ю Несбьо,Jo Nesbø,Jo Nesbø,Jo Nesbø,Jo Nesbø,Jo Nesbø,Ю Несбё,Jo Nesbø,Jo Nesbø,Ю Несбе,m
1340,Кадзуо Одзакі,Казуо Озаки,Kazuo Ozaki,Kazuo Ozaki,Kazuo Ozaki,Kazuo Ozaki,Kazuo Ozaki,Кадзуо Одзаки,Kazuo Ozaki,Kazuo Ozaki,Одзакі Кадзуо,m
1341,Шон Пен,Шон Пен,Sean Penn,Sean Penn,Sean Penn,Sean Penn,Sean Penn,Шон Пенн,Sean Penn,Sean Penn,Шон Пенн,m
1342,Айртан Сена,Айртон Сена,Ayrton Senna,Ayrton Senna,Ayrton Senna,Ayrton Senna,Ayrton Senna,Айртон Сенна,Ayrton Senna,Ayrton Senna,Айртон Сенна,f
1343,Кацуёсі Сінто,Кацуйоши Шинто,Katsuyoshi Shinto,Kacujoši Šintó,Katsuyoshi Shinto,Katsuyoshi Shinto,Katsuyoshi Shintō,Кацуёси Синто,Kacujoši Šinto,Katsuyoshi Shinto,Сінто Кацуйосі,m
1344,Сіндзі Танака,Шинджи Танака,Shinji Tanaka,Šindži Tanaka,Shinji Tanaka,Shinji Tanaka,Shinji Tanaka,Синдзи Танака,Šindži Tanaka,Shinji Tanaka,Танака Сіндзі,m
1345,Х’юга Уівінг,Хюго Уивинг,Hugo Weaving,Hugo Weaving,Hugo Weaving,Hugo Weaving,Hugo Weaving,Хьюго Уивинг,Hugo Weaving,Hugo Weaving,Г'юго Вівінг,m
1346,Рудзі Фёлер,Руди Фьолер,Rudolf Völler,Rudi Völler,Rudi Völler,Rudi Völler,Rudi Völler,Руди Фёллер,Rudi Völler,Rudi Völler,Руді Феллер,m
1347,Колін Фёрт,Колин Фърт,Colin Firth,Colin Firth,Colin Firth,Colin Firth,Colin Firth,Колин Ферт,Colin Firth,Colin Firth,Колін Ферт,m
1348,Філіп,Филип,Felip de Bèlgica,Filip Belgický,Philippe of Belgium,Felipe de Bélgica,Filip I Koburg,Филипп,Filip Belgijski,Philippe,Філіп I,m
1349,Дэйман Хіл,Деймън Хил,Damon Hill,Damon Hill,Damon Hill,Damon Hill,Damon Hill,Деймон Хилл,Damon Hill,Damon Hill,Деймон Гілл,m
1350,Юлія Цімашэнка,Юлия Тимошенко,Iúlia Timoixenko,Julija Tymošenková,Yulia Tymoshenko,Yulia Timoshenko,Julia Tymoszenko,Юлия Тимошенко,Julija Timošenko,Yuliya Timoşenko,Юлія Тимошенко,f
1351,Барак Абама,Барак Обама,Barack Obama,Barack Obama,Barack Obama,Barack Obama,Barack Obama,Барак Обама,Barack Obama,Barack Obama,Барак Обама,m
1352,Сяргей Алейнікаў,Сергей Алейников,Serguei Ievguènievitx Alèinikov,Sergej Alejnikov,Sergei Aleinikov,Serguéi Aléinikov,Siarhiej Alejnikau,Сергей Алейников,Sergej Alejnikov,Syarhey Aleynikau,Сергій Алейніков,m
1353,Ільхам Аліеў,Илхам Алиев,Ilham Alíev,Ilham Alijev,Ilham Aliyev,İlham Əliyev,İlham Əliyev,Ильхам Гейдар оглы Алиев,Ilham Alijev,İlham Aliyev,Ільхам Алієв,m
1354,Антоніу Кошта,Антониу Коща,António Costa,António Costa,António Costa,António Costa,António Costa,Антониу Кошта,António Costa,António Costa,Антоніу Кошта,m
1355,Гвіда Бухвальд,Гуидо Бухвалд,Guido Buchwald,Guido Buchwald,Guido Buchwald,Guido Buchwald,Guido Buchwald,Гвидо Бухвальд,Guido Buchwald,Guido Buchwald,Гвідо Бухвальд,m
1356,Кэрал Грэйдэр,Карол Грейдър,Carol W. Greider,Carol W. Greiderová,Carol W. Greider,Carol Greider,Carol Greider,Кэрол Грейдер,Carol W. Greider,Carol W. Greider,Керол Грейдер,f
1357,Уэйн Грэцкі,Уейн Грецки,Wayne Gretzky,Wayne Gretzky,Wayne Gretzky,Wayne Gretzky,Wayne Gretzky,Уэйн Гретцки,Wayne Gretzky,Wayne Gretzky,Вейн Грецкі,m
1358,Джока Відода,Джоко Уидодо,Joko Widodo,Joko Widodo,Joko Widodo,Joko Widodo,Joko Widodo,Джоко Видодо,Joko Widodo,Joko Widodo,Джоко Відодо,f
1359,Пітэр Джэксан,Питър Джаксън,Peter Jackson,Peter Jackson,Peter Jackson,Peter Jackson,Peter Jackson,Питер Джексон,Peter Jackson,Peter Jackson,Пітер Джексон,m
1360,Дыяна,Даяна Уелска,Diana de Gal·les,Princezna Diana,Diana,Diana de Gales,Diana,принцесса Уэльская Диана,Diana Spencer,Diana,Діана,f
1361,Яхіро Кадзама,Яхиро Казама,Yahiro Kazama,Jahiro Kazama,Yahiro Kazama,Yahiro Kazama,Yahiro Kazama,Яхиро Кадзама,Jahiro Kazama,Yahiro Kazama,Кадзама Яхіро,m
1362,Надзя Каманэчы,Надя Команечи,Nadia Comăneci,Nadia Comaneciová,Nadia Comăneci,Nadia Comăneci,Nadia Comăneci,Надя Комэнеч,Nadia Comăneci,Nadia Comăneci,Надя Коменеч,f
1363,Андрэй Каратаеў,Андрей Коротаев,Andrei Korotàiev,Andrej Korotajev,Andrey Korotayev,Andréi Korotáyev,Andriej Korotajew,Андрей Коротаев,Andrej Korotajev,Andrey Korotayev,Андрій Коротаєв,m
1364,Тасінобу Кацуя,Тошинобу Кацуя,Toshinobu Katsuya,Tošinobu Kacuja,Toshinobu Katsuya,Toshinobu Katsuya,Toshinobu Katsuya,Тосинобу Кацуя,Tošinobu Kacuja,Toshinobu Katsuya,Кацуя Тосінобу,m
1365,Джордж Клуні,Джордж Клуни,George Clooney,George Clooney,George Clooney,George Clooney,George Clooney,Джордж Клуни,George Clooney,George Clooney,Джордж Клуні,m
1366,Эрык Алін Корнел,Ерик Корнел,Eric Allin Cornell,Eric Allin Cornell,Eric Allin Cornell,Eric A. Cornell,Eric Cornell,Эрик Аллин Корнелл,Eric Allin Cornell,Eric Cornell,Ерік Корнелл,m
1367,Карл Льюіс,Карл Люис,Carl Lewis,Carl Lewis,Carl Lewis,Carl Lewis,Carl Lewis,Карл Льюис,Carl Lewis,Carl Lewis,Карл Льюїс,m
1368,Лотар Матэус,Лотар Матеус,Lothar Herbert Matthäus,Lothar Matthäus,Lothar Matthäus,Lothar Matthäus,Lothar Matthäus,Лотар Маттеус,Lothar Matthäus,Lothar Matthäus,Лотар Маттеус,m
1369,Кіётака Мацуі,Кийотака Мацуи,Kiyotaka Matsui,Kijotaka Macui,Kiyotaka Matsui,Kiyotaka Matsui,Kiyotaka Matsui,Киётака Мацуи,Kijotaka Macui,Kiyotaka Matsui,Мацуї Кійотака,m
1370,Эдзі Мёрфі,Еди Мърфи,Eddie Murphy,Eddie Murphy,Eddie Murphy,Eddie Murphy,Eddie Murphy,Эдди Мерфи,Eddie Murphy,Eddie Murphy,Едді Мерфі,m
1371,Масаакі Моры,Масааки Мори,Masaaki Mori,Masaaki Mori,Masaaki Mori,Masaaki Mori,Masaaki Mori,Масааки Мори,Masaaki Mori,Masaaki Mori,Морі Масаакі,m
1372,Дзмітрый Муратаў,Дмитрий Муратов,Dmitri Muràtov,Dmitrij Muratov,Dmitry Muratov,Dmitri Murátov,Dmitrij Muratow,Дмитрий Муратов,Dimitrij Andrejevič Muratov,Dmitri Muratov,Дмитро Муратов,m
1373,Ацусі Наторы,Ацуши Натори,Atsushi Natori,Acuši Natori,Atsushi Natori,Atsushi Natori,Atsushi Natori,Ацуси Натори,Acuši Natori,Atsushi Natori,Наторі Ацусі,m
1374,Эрна Сульберг,Ерна Солберг,Erna Solberg,Erna Solbergová,Erna Solberg,Erna Solberg,Erna Solberg,Эрна Сульберг,Erna Solberg,Erna Solberg,Ерна Солберг,f
1375,Тэцуя Тоцука,Тецуя Тоцука,Tetsuya Totsuka,Tecuja Tocuka,Tetsuya Totsuka,Tetsuya Totsuka,Tetsuya Totsuka,Тэцуя Тоцука,Tecuja Tocuka,Tetsuya Totsuka,Тоцука Тецуя,m
1376,Мілен Фармер,Милен Фармер,Mylène Farmer,Mylène Farmer,Mylène Farmer,Mylène Farmer,Mylène Farmer,Милен Фармер,Mylène Farmer,Mylène Farmer,Мілен Фармер,f
1377,Майкл Джэй Фокс,Майкъл Джей Фокс,Michael J. Fox,Michael J. Fox,Michael J. Fox,Michael J. Fox,Michael J. Fox,Майкл Джей Фокс,Michael J. Fox,Michael J. Fox,Майкл Джей Фокс,m
1378,Коіці Хасіратані,Коичи Хаширатани,Koichi Hashiratani,Kóiči Haširatani,Koichi Hashiratani,Kōichi Hashiratani,Kōichi Hashiratani,Коити Хасиратани,Koiči Haširatani,Koichi Hashiratani,Хасіратані Коіті,m
1379,Сатосі Цунамі,Сатоши Цунами,Satoshi Tsunami,Satoši Cunami,Satoshi Tsunami,Satoshi Tsunami,Satoshi Tsunami,Сатоси Цунами,Satoši Cunami,Satoshi Tsunami,Цунамі Сатосі,m
1380,Энія,Еня,Enya,Enya,Enya,Enya,Enya,Эния,Enya,Enya,Енія,f
1381,Абдала II,Абдула II,Abd-Al·lah II de Jordània,Abdalláh II.,Abdullah II of Jordan,Abdalá II de Jordania,Abd Allah II ibn Husajn,Абдалла II ибн Хусейн,Abdulah II. Jordanski,II. Abdullah,Абдалла II,m
1382,Тамоясу Асаока,Томоясу Асаока,Tomoyasu Asaoka,Tomojasu Asaoka,Tomoyasu Asaoka,Tomoyasu Asaoka,Tomoyasu Asaoka,Томоясу Асаока,Tomojasu Asaoka,Tomoyasu Asaoka,Асаока Томоясу,m
1383,Кліфард Лі Бёртан,Клиф Бъртън,Cliff Burton,Cliff Burton,Cliff Burton,Cliff Burton,Cliff Burton,Клифф Бёртон,Cliff Burton,Cliff Burton,Кліфф Бертон,m
1384,Энтані Блінкен,Антъни Блинкен,Antony Blinken,Antony Blinken,Antony Blinken,Antony Blinken,Antony Blinken,Энтони Блинкен,Antony Blinken,Antony Blinken,Ентоні Блінкен,m
1385,Міла Джуканавіч,Мило Джуканович,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,Milo Đukanović,Мило Джуканович,Milo Đukanović,Milo Đukanović,Мило Джуканович,m
1386,Аляксандр Дугін,Александър Дугин,Aleksandr Duguin,Alexandr Dugin,Aleksandr Dugin,Aleksandr Duguin,Aleksandr Dugin,Александр Дугин,Aleksander Dugin,Aleksandr Dugin,Олександр Дугін,m
1387,Міцуноры Ёсіда,Мицунори Йошида,Mitsunori Yoshida,Micunori Jošida,Mitsunori Yoshida,Mitsunori Yoshida,Mitsunori Yoshida,Мицунори Ёсида,Micunori Jošida,Mitsunori Yoshida,Йосіда Міцунорі,m
1388,Стыў Ірвін,Стив Ъруин,Steve Irwin,Steve Irwin,Steve Irwin,Steve Irwin,Steve Irwin,Стив Ирвин,Steve Irwin,Steve Irwin,Стівен Роберт Ірвін,m
1389,Карлес Пучдэмон,Карлес Пучдемон,Carles Puigdemont i Casamajó,Carles Puigdemont,Carles Puigdemont,Carles Puigdemont,Carles Puigdemont,Карлес Пучдемон,Carles Puigdemont,Carles Puigdemont,Карлес Пучдемон,m
1390,Джым Керы,Джим Кери,Jim Carrey,Jim Carrey,Jim Carrey,Jim Carrey,Jim Carrey,Джим Керри,Jim Carrey,Jim Carrey,Джим Керрі,m
1391,Том Круз,Том Круз,Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise,Tom Cruise,Том Круз,Tom Cruise,Tom Cruise,Том Круз,m
1392,Нікалас Мадура,Николас Мадуро,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Nicolás Maduro,Николас Мадуро,Nicolás Maduro,Nicolás Maduro,Ніколас Мадуро,m
1393,Сігэтацу Мацунага,Шигетацу Мацунага,Shigetatsu Matsunaga,Šigetacu Macunaga,Shigetatsu Matsunaga,Shigetatsu Matsunaga,Shigetatsu Matsunaga,Сигэтацу Мацунага,Šigetacu Macunaga,Shigetatsu Matsunaga,Мацунага Сігетацу,m
1394,Эдвард Мозер,Едвард Мосер,Edvard Moser,Edvard Moser,Edvard Moser,Edvard Moser,Edvard Moser,Эдвард Мозер,Edvard Moser,Edvard Moser,Едвард Мозер,m
1395,Дэмі Мур,Деми Мур,Demi Moore,Demi Moore,Demi Moore,Demi Moore,Demi Moore,Деми Мур,Demi Moore,Demi Moore,Демі Мур,f
1396,Чак Паланюк,Чък Паланюк,Chuck Palahniuk,Chuck Palahniuk,Chuck Palahniuk,Chuck Palahniuk,Chuck Palahniuk,Чак Паланик,Chuck Palahniuk,Chuck Palahniuk,Чак Поланік,m
1397,Элеанора Рузвельт,Елинор Рузвелт,Eleanor Roosevelt,Eleanor Rooseveltová,Eleanor Roosevelt,Eleanor Roosevelt,Eleanor Roosevelt,Элеонора Рузвельт,Eleanor Roosevelt,Eleanor Roosevelt,Елеонора Рузвельт,f
1398,Масанао Сасакі,Масанао Сасаки,Masanao Sasaki,Masanao Sasaki,Masanao Sasaki,Masanao Sasaki,Masanao Sasaki,Масанао Сасаки,Masanao Sasaki,Masanao Sasaki,Сасакі Масанао,m
1399,Вольга Такарчук,Олга Токарчук,Olga Tokarczuk,Olga Tokarczuková,Olga Tokarczuk,Olga Tokarczuk,Olga Tokarczuk,Ольга Токарчук,Olga Tokarczuk,Olga Tokarczuk,Ольга Токарчук,f
1400,Рэйф Файнс,Ралф Файнс,Ralph Fiennes,Ralph Fiennes,Ralph Fiennes,Ralph Fiennes,Ralph Fiennes,Рэйф Файнс,Ralph Fiennes,Ralph Fiennes,Рейф Файнз,m
1401,Дэвід Фінчэр,Дейвид Финчър,David Fincher,David Fincher,David Fincher,David Fincher,David Fincher,Дэвид Финчер,David Fincher,David Fincher,Девід Фінчер,m
1402,Джодзі Фостэр,Джоди Фостър,Jodie Foster,Jodie Fosterová,Jodie Foster,Jodie Foster,Jodie Foster,Джоди Фостер,Jodie Foster,Jodie Foster,Джоді Фостер,f
1403,Джон Ханна,Джон Хана,John Hannah,John Hannah,John Hannah,John Hannah,John Hannah,Джон Ханна,John Hannah,John Hannah,Джон Ганна,m
1404,Дзмітрый Хварастоўскі,Дмитрий Хворостовски,Dmitri Hvorostovski,Dmitrij Chvorostovskij,Dmitri Hvorostovsky,Dmitri Hvorostovsky,Dmitrij Chworostowski,Дмитрий Хворостовский,Dmitrij Hvorostovski,Dmitri Hvorostovski,Дмитро Хворостовський,m
1405,Кірк Хэмет,Кърк Хамет,Kirk Hammett,Kirk Hammett,Kirk Hammett,Kirk Hammett,Kirk Hammett,Кирк Хэмметт,Kirk Hammett,Kirk Hammett,Кірк Гемметт,m
1406,Энтані Кідзіс,Антъни Кийдис,Anthony Kiedis,Anthony Kiedis,Anthony Kiedis,Anthony Kiedis,Anthony Kiedis,Энтони Кидис,Anthony Kiedis,Anthony Kiedis,Ентоні Кідіс,m
1407,Сін’я Яманака,Шиня Яманака,Shinya Yamanaka,Šin’ja Jamanaka,Shinya Yamanaka,Shin'ya Yamanaka,Shin’ya Yamanaka,Синъя Яманака,Šinja Jamanaka,Shinya Yamanaka,Яманака Сін'я,m
1408,Сяргей Бубка,Сергей Бубка,Serguei Bubka,Sergej Bubka,Sergey Bubka,Serguéi Bubka,Serhij Bubka,Сергей Бубка,Sergej Bubka,Sergey Bubka,Сергій Бубка,m
1409,Майкл Джордан,Майкъл Джордан,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan,Michael Jordan,Майкл Джордан,Michael Jordan,Michael Jordan,Майкл Джордан,m
1410,Дунга,Дунга,Carlos Caetano Bledorn Verri,Dunga,Dunga,Dunga,Dunga,Дунга,Dunga,Dunga,Дунга,m
